Province,CityName,YearAvgOzone,YearMaxOzone,Latitude,Longitude
88,ALBERTA,Edson,26.4,52,53.5855087,-116.4428615
89,ONTARIO,Barrie,26.32,57,44.3893556,-79.6903316
90,ONTARIO,North Bay,26.12,56,46.3091152,-79.4608204
91,QUEBEC,Longueuil,26.06,64,45.5369442,-73.5107131
92,ALBERTA,Cold Lake,26.03,49,54.4643173,-110.1731468
93,QUEBEC,Lac-Edouard,25.98,49,47.66173,-72.271136
94,SASKATCHEWAN,Prince Albert,25.82,47,53.2033494,-105.7530705
95,ONTARIO,Ottawa,25.77,64,45.4215296,-75.6971931
96,ALBERTA,Elk Island,25.66,44,53.781261,-112.982038
97,NEW BRUNSWICK,Lower Newcastle,25.66,46,47.0797157,-65.4011089
98,QUEBEC,Mingan,25.65,45,50.291457,-64.023161
99,ONTARIO,Mississauga,25.64,57,43.5890452,-79.6441198
100,QUEBEC,Gatineau,25.51,63,45.4765446,-75.7012723
101,QUEBEC,L'assomption,25.46,54,45.8519896,-73.4123978
102,NEW BRUNSWICK,St. Andrews,25.44,45,45.0738432,-67.0530897
103,MANITOBA,Winnipeg,25.39,50,49.8997541,-97.1374937
104,NEW BRUNSWICK,Saint John,25.33,45,45.2733153,-66.0633081
105,ALBERTA,,25.15,52,53.9332706,-116.5765035
106,NEW BRUNSWICK,Dow Settlement,25.09,45,45.950002,-67.478628
107,SASKATCHEWAN,Swift Current,25.07,44,50.285069,-107.7971722
108,MANITOBA,Brandon,24.99,41,49.848471,-99.9500904
109,QUEBEC,Varennes,24.97,57,45.6810341,-73.4374973
110,QUEBEC,Saint-Simon,24.96,51,45.733253,-72.866611
111,ONTARIO,Thunder Bay,24.95,56,48.3808951,-89.2476823
112,ALBERTA,Thorsby,24.92,47,53.2275529,-114.0500485
113,QUEBEC,Lemieux,24.91,46,46.297243,-72.110739
114,QUEBEC,Laval,24.81,62,45.6066487,-73.712409
115,BRITISH COLUMBIA,Kelowna,24.8,56,49.8879519,-119.4960106
116,NEW BRUNSWICK,St. Leonard,24.64,52,47.162759,-67.925605
117,QUEBEC,Ferme Neuve,24.54,46,46.7019779,-75.456654
118,QUEBEC,Charette,24.54,47,46.44065,-72.923934
119,NOVA SCOTIA,Pictou,24.52,46,45.679332,-62.720603
120,ONTARIO,Toronto,24.32,65,43.653226,-79.3831843
121,NEW BRUNSWICK,Norton,24.28,43,45.6408861,-65.7017935
122,NEW BRUNSWICK,Fredericton,24.16,43,45.9635895,-66.6431151
123,NEW BRUNSWICK,Central Blissville,24.07,44,45.632168,-66.564576
124,BRITISH COLUMBIA,Nanaimo,23.77,47,49.1658836,-123.9400647
125,QUEBEC,Deschambault,23.71,44,46.6506402,-71.9295562
126,QUEBEC,Levis,23.24,41,46.7382265,-71.2464592
127,ALBERTA,Town Of Bruderheim,23.04,38,53.8034986,-112.9265856
128,NORTHWEST TERRITORIES,Fort Liard,22.99,47,60.2395738,-123.4733158
129,NOVA SCOTIA,Dartmouth,22.98,46,44.6652059,-63.5677427
130,BRITISH COLUMBIA,Victoria,22.97,43,48.4284207,-123.3656444
131,ALBERTA,Grande Prairie,22.84,51,55.1699396,-118.7986152
132,QUEBEC,Quebec,22.8,47,46.8032826,-71.242796
133,BRITISH COLUMBIA,Whistler,22.74,42,50.1163196,-122.9573563
134,NEW BRUNSWICK,Moncton,22.73,47,46.0878165,-64.7782313
135,BRITISH COLUMBIA,Williams Lake,22.5,49,52.1416736,-122.1416885
136,SASKATCHEWAN,Saskatoon,22.47,45,52.1332144,-106.6700458
137,BRITISH COLUMBIA,Campbell River,22.37,43,50.0331226,-125.2733354
138,NORTHWEST TERRITORIES,Norman Wells,22.34,49,65.2814938,-126.8286524
139,BRITISH COLUMBIA,Metro Van-Langley,22.07,43,49.0743308,-122.5593218
140,ALBERTA,Calgary,21.94,46,51.0486151,-114.0708459
141,ALBERTA,Fort Mcmurray,21.9,59,56.7263796,-111.3803407
142,BRITISH COLUMBIA,Nelson,21.84,44,49.4928119,-117.2948343
143,ALBERTA,Edmonton,21.62,48,53.544389,-113.4909267
