Province	CityName	YearAvgOzone	YearMaxOzone
134	NEW BRUNSWICK	Moncton	22.73	47
135	BRITISH COLUMBIA	Williams Lake	22.5	49
136	SASKATCHEWAN	Saskatoon	22.47	45
137	BRITISH COLUMBIA	Campbell River	22.37	43
138	NORTHWEST TERRITORIES	Norman Wells	22.34	49
139	BRITISH COLUMBIA	Metro Van-Langley	22.07	43
140	ALBERTA	Calgary	21.94	46
141	ALBERTA	Fort Mcmurray	21.9	59
142	BRITISH COLUMBIA	Nelson	21.84	44
143	ALBERTA	Edmonton	21.62	48
144	BRITISH COLUMBIA	Metro Van - Burnaby	21.53	54
145	QUEBEC	Montreal	21.46	61
146	BRITISH COLUMBIA	Metro Van - Surrey	21.3	43
147	ALBERTA	Fort Saskatchewan	21.27	41
148	BRITISH COLUMBIA	Courtenay	21.21	46
149	ALBERTA	Red Deer	21.02	46
150	SASKATCHEWAN	Regina	20.69	46
151	BRITISH COLUMBIA	Metro Van - Maple Ridge	20.27	42
152	BRITISH COLUMBIA	Duncan	20.26	44
153	BRITISH COLUMBIA	Smithers	20.17	48
154	BRITISH COLUMBIA	Metro Van - Abbotsford	19.97	40
155	BRITISH COLUMBIA	Metro Van-Hope	19.82	41
156	BRITISH COLUMBIA	Metro Van-Pitt Meadows	19.66	41
157	BRITISH COLUMBIA	Vernon	19.46	50
158	BRITISH COLUMBIA	Prince George	19.36	47
159	BRITISH COLUMBIA	Metro Van-Chilliwack	19.13	52
160	ALBERTA	Fort Mackay	18.71	49
161	BRITISH COLUMBIA	Castlegar	18.54	43
162	BRITISH COLUMBIA	Quesnel	18.37	48
163	BRITISH COLUMBIA	Metro Van - Richmond	18.21	40
164	BRITISH COLUMBIA	Squamish	17.98	37
165	BRITISH COLUMBIA	Metro Van - Delta	17.97	40
166	BRITISH COLUMBIA	Metro Van - Coquitlam	17.78	40
167	BRITISH COLUMBIA	Metro Van - North Vancouver	16.84	39
168	NOVA SCOTIA	Halifax	14.99	35
169	BRITISH COLUMBIA	Metro Van - Port Moody	14.96	38
170	BRITISH COLUMBIA	Metro Van - Vancouver	14	40
